Planet;a [AU];e;eDot;i [deg];iDot;N [deg];NDot;w [deg];wDot;M0 [deg];n [deg/day]
Mercury;0.387098;0.205635;5.59E-10;7.0047;5.00E-8;48.3313;3.24587E-5;29.1241;1.01444E-5;168.6562;4.0923344368
Venus;0.723330;0.006773;-1.302E-9;3.3946;2.75E-8;76.6799;2.46590E-5;54.8910;1.38374E-5;48.0052;1.6021302244
Earth;1.000000;0.016709;-1.151E-9;0.0000;0.0000;0.0;0.0;102.9373;1.71946E-5;356.0470;0.9856002585
Mars;1.523688;0.093405;2.516E-9;1.8497;-1.78E-8;49.5574;2.11081E-5;286.5016;2.92961E-5;18.6021;0.5240207766
Jupiter;5.202561;0.048498;-4.469E-9;1.3030;-1.557E-7;100.4542;2.76854E-5;273.8777;1.64505E-5;19.8950;0.0830853001
Saturn;9.554747;0.055546;-9.499E-9;2.4886;-1.081E-7;113.6634;2.38980E-5;339.3939;2.97661E-5;316.9670;0.0334442282
Uranus;19.21814;0.046381;-2.139E-9;0.7733;1.9E-8;74.0005;1.3978E-5;96.6612;3.0565E-5;142.5905;0.011694
Neptune;30.11039;0.008997;6.33E-10;1.7700;-2.55E-7;131.7806;3.0173E-5;272.8461;-6.027E-6;260.2471;0.005965
Pluto;39.48169;0.248807;1.5E-8;17.14175;0.0;110.30347;0.0;113.76329;0.0;14.53;0.00396
Moon;0.002570;0.0549;-1.06E-6;5.1454;0.0;125.1228;-0.0529538083;318.0634;0.1643573223;115.3654;13.0649929509
